,DEGREE,EDGE_PO_BIN,EDGE_PO_CLIENT,EDGE_PO_NONE,EDGE_PO_READ,EDGE_PO_RaW,EDGE_PO_SERVER,EDGE_PO_WRITE,EXTERNAL,GID_STS,HIDE,NEIGH_DEGREE,NEIGH_DIST,NEIGH_FILE,NEIGH_PROCESS,NEIGH_SOCKET,NEIGH_WEB_CONN,NODE_FILE,NODE_PROCESS,NODE_SOCKET,SHOW,SUSPICIOUS,UID_STS,VERSION,WEB_CONN
0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,23,15.601217246014924,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,10.0,0.0
1,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,43,17.913382491690257,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,8.0,0.0
2,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0,113,24.537145588645473,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,2.0,0.0
3,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,52,17.858112163312292,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,0.0,1.0
4,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,43,17.98980770072166,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,6.0,0.0
5,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,349,20.78125417269477,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,2.0,0.0
6,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,8,14.915415011427752,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0
7,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,23,17.42867286898004,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,24.0,0.0
8,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,211,19.491130597903858,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,24.0,0.0
9,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0,117,16.369968145713383,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0
10,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,211,18.643398092455058,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,8.0,0.0
11,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,73,17.207914860232744,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,2.0,0.0
