EDGE_TYPE,EXTERNAL,GID_STS,LABEL,NEIGH_TYPE,NEIGH_WEB_CONN,NODE_TYPE,SUSPICIOUS,TIMESTAMP,UID_STS,UUID,VERSION,WEB_CONN
2,1,1,1,1,1,3,0,1498934513411765738,1,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:f3a41efc-5e8c-11e7-92f1-080027d14c66,0,1
2,1,1,1,1,1,3,0,1498934513411765738,1,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:f3a43747-5e8c-11e7-92f1-080027d14c66,0,1
2,1,1,1,1,1,3,0,1498934513411765738,1,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:f3a4713d-5e8c-11e7-92f1-080027d14c66,0,1
2,1,1,1,1,1,3,0,1498934513411765738,1,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:f3a4890e-5e8c-11e7-92f1-080027d14c66,0,1
2,1,1,1,1,1,3,0,1498934513423830758,1,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:f3a4a11f-5e8c-11e7-92f1-080027d14c66,0,1
3,1,0,1,1,1,3,0,1498934512957981402,0,a4b43224-b384-420d-9a4c-2ceb1f436529:f35e8e98-5e8c-11e7-a272-080027d14c67,0,1
3,1,0,1,1,1,3,0,1498934513098588056,0,a4b43224-b384-420d-9a4c-2ceb1f436529:f35e8e98-5e8c-11e7-a272-080027d14c67,1,1
4,1,1,1,1,1,3,0,1498934513098588056,0,a4b43224-b384-420d-9a4c-2ceb1f436529:f35e8e98-5e8c-11e7-a272-080027d14c67,1,1
4,1,0,1,1,1,3,0,1498934513116923399,0,a4b43224-b384-420d-9a4c-2ceb1f436529:f35e8e98-5e8c-11e7-a272-080027d14c67,2,1
4,1,1,1,1,1,3,0,1498934513116923399,0,a4b43224-b384-420d-9a4c-2ceb1f436529:f35e8e98-5e8c-11e7-a272-080027d14c67,2,1
3,1,0,1,1,1,3,0,1498934513116923399,0,a4b43224-b384-420d-9a4c-2ceb1f436529:f35e8e98-5e8c-11e7-a272-080027d14c67,2,1
2,1,0,1,1,1,3,0,1498934521262892045,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:f851de6f-5e8c-11e7-92f1-080027d14c66,0,1
2,1,0,1,1,1,3,0,1498934521976166311,0,a4b43224-b384-420d-9a4c-2ceb1f436529:f8beb954-5e8c-11e7-a273-080027d14c67,0,1
2,1,0,1,1,1,3,0,1498934526265877571,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:fb4d27f1-5e8c-11e7-92f1-080027d14c66,0,1
2,1,0,1,1,1,3,0,1498934527266883665,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:fbe5e624-5e8c-11e7-92f1-080027d14c66,0,1
2,1,0,1,1,1,3,0,1498934526978974836,0,a4b43224-b384-420d-9a4c-2ceb1f436529:fbb9f748-5e8c-11e7-a273-080027d14c67,0,1
2,1,0,1,1,1,3,0,1498934527980408469,0,a4b43224-b384-420d-9a4c-2ceb1f436529:fc52c39b-5e8c-11e7-a273-080027d14c67,0,1
2,1,0,1,1,1,3,0,1498934544275881593,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:06095c13-5e8d-11e7-92f1-080027d14c66,0,1
2,1,0,1,1,1,3,0,1498934544988972046,0,a4b43224-b384-420d-9a4c-2ceb1f436529:06762f38-5e8d-11e7-a273-080027d14c67,0,1
2,1,0,1,1,1,3,0,1498934549279886088,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:0904d19c-5e8d-11e7-92f1-080027d14c66,0,1
2,1,0,1,1,1,3,0,1498934550281879337,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:099db52a-5e8d-11e7-92f1-080027d14c66,0,1
2,1,0,1,1,1,3,0,1498934549992972459,0,a4b43224-b384-420d-9a4c-2ceb1f436529:09719f63-5e8d-11e7-a273-080027d14c67,0,1
2,1,0,1,1,1,3,0,1498934550994970415,0,a4b43224-b384-420d-9a4c-2ceb1f436529:0a0a81c3-5e8d-11e7-a273-080027d14c67,0,1
2,1,1,1,1,1,3,0,1498934558383382877,0,a4b43224-b384-420d-9a4c-2ceb1f436529:0e7270a3-5e8d-11e7-a273-080027d14c67,0,1
3,1,0,1,1,1,3,0,1498934558401893507,0,a4b43224-b384-420d-9a4c-2ceb1f436529:f35e8e98-5e8c-11e7-a272-080027d14c67,3,1
4,1,1,1,1,1,3,0,1498934558401893507,0,a4b43224-b384-420d-9a4c-2ceb1f436529:f35e8e98-5e8c-11e7-a272-080027d14c67,3,1
4,1,1,1,1,1,3,0,1498934558439672481,0,a4b43224-b384-420d-9a4c-2ceb1f436529:f35e8e98-5e8c-11e7-a272-080027d14c67,4,1
4,1,1,1,1,1,3,0,1498934558439672481,1,a4b43224-b384-420d-9a4c-2ceb1f436529:f35e8e98-5e8c-11e7-a272-080027d14c67,4,1
3,1,0,1,1,1,3,0,1498934558439672481,0,a4b43224-b384-420d-9a4c-2ceb1f436529:f35e8e98-5e8c-11e7-a272-080027d14c67,4,1
2,1,1,1,1,1,3,0,1498934558953877787,1,a4b43224-b384-420d-9a4c-2ceb1f436529:0ec8e83a-5e8d-11e7-a278-080027d14c67,0,1
2,1,1,1,1,1,3,0,1498934558957241722,1,a4b43224-b384-420d-9a4c-2ceb1f436529:0ec9734e-5e8d-11e7-a278-080027d14c67,0,1
3,1,0,1,1,1,3,0,1498934558957241722,0,a4b43224-b384-420d-9a4c-2ceb1f436529:f35e8e98-5e8c-11e7-a272-080027d14c67,5,1
4,1,1,1,1,1,3,0,1498934558957241722,0,a4b43224-b384-420d-9a4c-2ceb1f436529:f35e8e98-5e8c-11e7-a272-080027d14c67,5,1
3,1,0,1,1,1,3,0,1498934558957241722,0,a4b43224-b384-420d-9a4c-2ceb1f436529:f35e8e98-5e8c-11e7-a272-080027d14c67,5,1
3,1,0,1,1,1,3,0,1498934559551114063,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:5d47554c-5e8c-11e7-92d9-080027d14c66,5,1
4,1,1,1,1,1,3,0,1498934559551114063,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:5d47554c-5e8c-11e7-92d9-080027d14c66,5,1
3,1,0,1,1,1,3,0,1498934559561888870,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:5d47554c-5e8c-11e7-92d9-080027d14c66,6,1
2,1,0,1,1,1,3,0,1498934567292271613,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:13c22e90-5e8d-11e7-92f3-080027d14c66,0,1
2,1,0,1,1,1,3,0,1498934568001970500,0,a4b43224-b384-420d-9a4c-2ceb1f436529:142dad76-5e8d-11e7-a278-080027d14c67,0,1
2,1,0,1,1,1,3,0,1498934572299874724,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:16bd624b-5e8d-11e7-92f3-080027d14c66,0,1
2,1,0,1,1,1,3,0,1498934573301869160,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:17564659-5e8d-11e7-92f3-080027d14c66,0,1
2,1,0,1,1,1,3,0,1498934573005974861,0,a4b43224-b384-420d-9a4c-2ceb1f436529:17292178-5e8d-11e7-a278-080027d14c67,0,1
2,1,0,1,1,1,3,0,1498934574009722552,0,a4b43224-b384-420d-9a4c-2ceb1f436529:17c24a09-5e8d-11e7-a278-080027d14c67,0,1
2,1,0,1,1,1,3,0,1498934245058895976,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:53b07db2-5e8c-11e7-92d9-080027d14c66,0,1
2,1,0,1,1,1,3,0,1498934245786143639,0,a4b43224-b384-420d-9a4c-2ceb1f436529:541fd4f8-5e8c-11e7-a26e-080027d14c67,0,1
2,1,0,1,1,1,3,0,1498934250062900333,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:56abeae2-5e8c-11e7-92d9-080027d14c66,0,1
2,1,0,1,1,1,3,0,1498934251064894268,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:5744cf29-5e8c-11e7-92d9-080027d14c66,0,1
2,1,0,1,1,1,3,0,1498934250791991940,0,a4b43224-b384-420d-9a4c-2ceb1f436529:571b2aea-5e8c-11e7-a26e-080027d14c67,0,1
2,1,0,1,1,1,3,0,1498934251793994510,0,a4b43224-b384-420d-9a4c-2ceb1f436529:57b41215-5e8c-11e7-a26e-080027d14c67,0,1
3,1,0,1,1,1,3,0,1498934261146894926,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:5d47554c-5e8c-11e7-92d9-080027d14c66,0,1
4,1,1,1,1,1,3,0,1498934261280914116,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:5d47554c-5e8c-11e7-92d9-080027d14c66,1,1
3,1,0,1,1,1,3,0,1498934261280914116,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:5d47554c-5e8c-11e7-92d9-080027d14c66,1,1
3,1,0,1,1,1,3,0,1498934261307423864,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:5d47554c-5e8c-11e7-92d9-080027d14c66,2,1
