,EDGE_TYPE,EXTERNAL,GID_STS,HIDE,NEIGH_TYPE,NEIGH_WEB_CONN,NODE_TYPE,SHOW,SUSPICIOUS,TIMESTAMP,UID_STS,UUID,VERSION,WEB_CONN
0,1,1,0,0,1,0,2,1,0,2,0,dummy_file_rule1_1,0,1
1,1,1,1,0,3,1,1,1,0,1498934513354791363,1,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:f39b5118-5e8c-11e7-92f1-080027d14c66,0,1
2,1,1,1,0,3,1,1,1,0,1498934513354791363,1,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:f39b5118-5e8c-11e7-92f1-080027d14c66,0,1
3,1,1,1,0,3,1,1,1,0,1498934513354791363,1,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:f39b5118-5e8c-11e7-92f1-080027d14c66,0,1
4,1,1,1,0,3,1,1,1,0,1498934513354791363,1,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:f39b5118-5e8c-11e7-92f1-080027d14c66,0,1
5,1,1,1,0,3,1,1,1,0,1498934513354791363,1,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:f39b5118-5e8c-11e7-92f1-080027d14c66,0,1
6,2,1,0,0,3,1,1,1,0,1498934404659631531,0,a4b43224-b384-420d-9a4c-2ceb1f436529:c31b4d9b-5e89-11e7-a0a5-080027d14c67,0,1
7,2,1,0,0,3,1,1,1,0,1498934404659631531,0,a4b43224-b384-420d-9a4c-2ceb1f436529:c31b4d9b-5e89-11e7-a0a5-080027d14c67,0,1
8,3,1,1,0,3,1,1,1,0,1498934512957981402,0,a4b43224-b384-420d-9a4c-2ceb1f436529:f35ec02e-5e8c-11e7-a272-080027d14c67,0,1
9,3,1,0,0,3,1,1,1,0,1498934513114062689,0,a4b43224-b384-420d-9a4c-2ceb1f436529:f376a70a-5e8c-11e7-a273-080027d14c67,0,1
10,3,1,1,0,3,1,1,1,0,1498934512957981402,0,a4b43224-b384-420d-9a4c-2ceb1f436529:f35ec02e-5e8c-11e7-a272-080027d14c67,0,1
11,2,1,0,0,3,1,1,1,0,1498934404659631531,0,a4b43224-b384-420d-9a4c-2ceb1f436529:c31b4d9b-5e89-11e7-a0a5-080027d14c67,0,1
12,1,1,0,0,3,1,1,1,0,1498934245058895976,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:868ae7b1-5e8a-11e7-9101-080027d14c66,0,1
13,1,1,0,0,3,1,1,1,0,1498934245782992422,0,a4b43224-b384-420d-9a4c-2ceb1f436529:c314d0d1-5e89-11e7-a09e-080027d14c67,0,1
14,1,1,0,0,3,1,1,1,0,1498934245058895976,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:868ae7b1-5e8a-11e7-9101-080027d14c66,0,1
15,1,1,0,0,3,1,1,1,0,1498934245058895976,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:868ae7b1-5e8a-11e7-9101-080027d14c66,0,1
16,1,1,0,0,3,1,1,1,0,1498934245782992422,0,a4b43224-b384-420d-9a4c-2ceb1f436529:c314d0d1-5e89-11e7-a09e-080027d14c67,0,1
17,1,1,0,0,3,1,1,1,0,1498934245782992422,0,a4b43224-b384-420d-9a4c-2ceb1f436529:c314d0d1-5e89-11e7-a09e-080027d14c67,0,1
18,1,1,0,0,3,1,1,1,0,1498934245058895976,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:868ae7b1-5e8a-11e7-9101-080027d14c66,0,1
19,1,1,0,0,3,1,1,1,0,1498934245782992422,0,a4b43224-b384-420d-9a4c-2ceb1f436529:c314d0d1-5e89-11e7-a09e-080027d14c67,0,1
20,1,1,0,0,3,1,1,1,0,1498934245058895976,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:868ae7b1-5e8a-11e7-9101-080027d14c66,0,1
21,1,1,0,0,3,1,1,1,0,1498934245058895976,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:868ae7b1-5e8a-11e7-9101-080027d14c66,0,1
22,1,1,0,0,3,1,1,1,0,1498934245782992422,0,a4b43224-b384-420d-9a4c-2ceb1f436529:c314d0d1-5e89-11e7-a09e-080027d14c67,0,1
23,1,1,0,0,3,1,1,1,0,1498934245782992422,0,a4b43224-b384-420d-9a4c-2ceb1f436529:c314d0d1-5e89-11e7-a09e-080027d14c67,0,1
24,1,1,1,0,3,1,1,1,0,1498934512957981402,0,a4b43224-b384-420d-9a4c-2ceb1f436529:f35ec02e-5e8c-11e7-a272-080027d14c67,0,1
25,2,1,0,0,3,1,1,1,0,1498934404659631531,0,a4b43224-b384-420d-9a4c-2ceb1f436529:c31b4d9b-5e89-11e7-a0a5-080027d14c67,0,1
26,3,1,1,0,3,1,1,1,0,1498934512957981402,0,a4b43224-b384-420d-9a4c-2ceb1f436529:f35ec02e-5e8c-11e7-a272-080027d14c67,0,1
27,3,1,1,0,3,1,1,1,0,1498934512957981402,0,a4b43224-b384-420d-9a4c-2ceb1f436529:f35ec02e-5e8c-11e7-a272-080027d14c67,0,1
28,3,1,1,0,3,1,1,1,0,1498934558429852918,1,a4b43224-b384-420d-9a4c-2ceb1f436529:0e79286a-5e8d-11e7-a273-080027d14c67,0,1
29,2,1,0,0,3,1,1,1,0,1498934404659631531,0,a4b43224-b384-420d-9a4c-2ceb1f436529:c31b4d9b-5e89-11e7-a0a5-080027d14c67,0,1
30,1,1,1,0,3,1,1,1,0,1498934558429852918,1,a4b43224-b384-420d-9a4c-2ceb1f436529:0e79286a-5e8d-11e7-a273-080027d14c67,0,1
31,1,1,1,0,3,1,1,1,0,1498934558429852918,1,a4b43224-b384-420d-9a4c-2ceb1f436529:0e79286a-5e8d-11e7-a273-080027d14c67,0,1
32,2,1,0,0,3,1,1,1,0,1498934404659631531,0,a4b43224-b384-420d-9a4c-2ceb1f436529:c31b4d9b-5e89-11e7-a0a5-080027d14c67,0,1
33,3,1,1,0,3,1,1,1,0,1498934512957981402,0,a4b43224-b384-420d-9a4c-2ceb1f436529:f35ec02e-5e8c-11e7-a272-080027d14c67,0,1
34,2,1,0,0,3,1,1,1,0,1498934261146894926,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:869157ef-5e8a-11e7-9107-080027d14c66,0,1
35,3,1,1,0,3,1,1,1,0,1498934261149290941,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:5d47962a-5e8c-11e7-92da-080027d14c66,0,1
36,2,1,0,0,3,1,1,1,0,1498934261146894926,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:869157ef-5e8a-11e7-9107-080027d14c66,0,1
37,1,1,0,0,3,1,1,1,0,1498934245058895976,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:868ae7b1-5e8a-11e7-9101-080027d14c66,0,1
38,1,1,0,0,3,1,1,1,0,1498934245782992422,0,a4b43224-b384-420d-9a4c-2ceb1f436529:c314d0d1-5e89-11e7-a09e-080027d14c67,0,1
39,1,1,0,0,3,1,1,1,0,1498934245058895976,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:868ae7b1-5e8a-11e7-9101-080027d14c66,0,1
40,1,1,0,0,3,1,1,1,0,1498934245058895976,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:868ae7b1-5e8a-11e7-9101-080027d14c66,0,1
41,1,1,0,0,3,1,1,1,0,1498934245782992422,0,a4b43224-b384-420d-9a4c-2ceb1f436529:c314d0d1-5e89-11e7-a09e-080027d14c67,0,1
